ID1,Predicted
228,0
679,1
56,0
207,0
719,1
691,1
224,0
650,0
641,1
11,0
130,1
71,0
324,1
610,1
341,0
560,0
14,0
168,1
661,1
401,0
98,1
161,0
408,0
648,0
620,1
151,0
138,1
221,0
489,0
541,0
400,0
590,1
673,0
258,0
640,1
730,0
697,0
116,0
244,1
490,0
358,0
97,0
286,0
169,1
536,1
129,1
573,0
622,1
78,0
537,1
310,1
22,0
495,0
462,0
102,0
88,0
238,0
136,0
201,0
340,0
35,0
457,0
403,1
664,1
216,0
362,1
59,0
586,0
42,0
631,0
498,0
79,0
343,0
581,0
514,0
283,0
438,1
547,0
150,1
321,0
588,0
275,1
320,0
678,0
304,1
360,0
553,0
344,1
27,1
484,1
251,1
680,1
193,0
153,0
381,0
227,0
289,0
389,0
483,1
323,0
469,0
446,1
349,0
556,0
706,1
154,1
713,1
20,0
612,0
508,1
421,0
712,0
557,0
632,1
543,0
513,0
637,0
443,0
690,1
687,0
101,0
10,1
326,0
3,0
398,0
699,1
294,1
580,0
195,0
479,0
578,1
342,1
69,0
535,0
37,1
311,1
660,1
624,1
188,0
504,1
597,1
122,0
441,1
499,0
9,0
61,0
700,1
368,0
496,0
117,0
40,0
436,0
113,0
603,0
33,0
44,0
231,1
363,1
229,0
379,0
703,0
83,0
274,0
524,0
717,0
172,0
50,0
485,0
561,0
434,0
566,0
444,1
587,0
366,0
391,0
319,1
666,0
402,0
325,1
29,1
555,0
186,0
16,0
463,0
377,0
435,0
218,0
292,0
629,0
474,1
280,1
728,1
173,0
39,0
1,0
86,0
140,1
298,0
601,1
655,1
433,0
616,0
716,1
334,0
492,0
299,0
205,1
111,0
68,0
41,1
416,0
546,0
565,0
235,0
167,0
568,1
316,0
448,0
267,1
301,0
