PassengerId,Pclass,Age,SibSp,Parch,Fare,male,Q,S,Predicted
892.0,3.0,34.5,0.0,0.0,7.8292,1.0,1.0,0.0,0.0
893.0,3.0,47.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0
894.0,2.0,62.0,0.0,0.0,9.6875,1.0,1.0,0.0,0.0
895.0,3.0,27.0,0.0,0.0,8.6625,1.0,0.0,1.0,0.0
896.0,3.0,22.0,1.0,1.0,12.2875,0.0,0.0,1.0,0.0
897.0,3.0,14.0,0.0,0.0,9.225,1.0,0.0,1.0,0.0
898.0,3.0,30.0,0.0,0.0,7.6292,0.0,1.0,0.0,1.0
899.0,2.0,26.0,1.0,1.0,29.0,1.0,0.0,1.0,0.0
900.0,3.0,18.0,0.0,0.0,7.2292,0.0,0.0,0.0,1.0
901.0,3.0,21.0,2.0,0.0,24.15,1.0,0.0,1.0,0.0
902.0,3.0,24.0,0.0,0.0,7.8958,1.0,0.0,1.0,0.0
903.0,1.0,46.0,0.0,0.0,26.0,1.0,0.0,1.0,1.0
904.0,1.0,23.0,1.0,0.0,82.2667,0.0,0.0,1.0,1.0
905.0,2.0,63.0,1.0,0.0,26.0,1.0,0.0,1.0,0.0
906.0,1.0,47.0,1.0,0.0,61.175,0.0,0.0,1.0,1.0
907.0,2.0,24.0,1.0,0.0,27.7208,0.0,0.0,0.0,1.0
908.0,2.0,35.0,0.0,0.0,12.35,1.0,1.0,0.0,0.0
909.0,3.0,21.0,0.0,0.0,7.225,1.0,0.0,0.0,0.0
910.0,3.0,27.0,1.0,0.0,7.925,0.0,0.0,1.0,1.0
911.0,3.0,45.0,0.0,0.0,7.225,0.0,0.0,0.0,0.0
912.0,1.0,55.0,1.0,0.0,59.4,1.0,0.0,0.0,1.0
913.0,3.0,9.0,0.0,1.0,3.1708,1.0,0.0,1.0,0.0
914.0,1.0,41.0,0.0,0.0,31.6833,0.0,0.0,1.0,1.0
915.0,1.0,21.0,0.0,1.0,61.3792,1.0,0.0,0.0,1.0
916.0,1.0,48.0,1.0,3.0,262.375,0.0,0.0,0.0,1.0
917.0,3.0,50.0,1.0,0.0,14.5,1.0,0.0,1.0,0.0
918.0,1.0,22.0,0.0,1.0,61.9792,0.0,0.0,0.0,1.0
919.0,3.0,22.5,0.0,0.0,7.225,1.0,0.0,0.0,0.0
920.0,1.0,41.0,0.0,0.0,30.5,1.0,0.0,1.0,1.0
921.0,3.0,24.0,2.0,0.0,21.6792,1.0,0.0,0.0,0.0
922.0,2.0,50.0,1.0,0.0,26.0,1.0,0.0,1.0,0.0
923.0,2.0,24.0,2.0,0.0,31.5,1.0,0.0,1.0,0.0
924.0,3.0,33.0,1.0,2.0,20.575,0.0,0.0,1.0,0.0
925.0,3.0,24.0,1.0,2.0,23.45,0.0,0.0,1.0,0.0
926.0,1.0,30.0,1.0,0.0,57.75,1.0,0.0,0.0,1.0
927.0,3.0,18.5,0.0,0.0,7.2292,1.0,0.0,0.0,0.0
928.0,3.0,24.0,0.0,0.0,8.05,0.0,0.0,1.0,0.0
929.0,3.0,21.0,0.0,0.0,8.6625,0.0,0.0,1.0,0.0
930.0,3.0,25.0,0.0,0.0,9.5,1.0,0.0,1.0,0.0
931.0,3.0,24.0,0.0,0.0,56.4958,1.0,0.0,1.0,0.0
932.0,3.0,39.0,0.0,1.0,13.4167,1.0,0.0,0.0,0.0
933.0,1.0,41.0,0.0,0.0,26.55,1.0,0.0,1.0,1.0
934.0,3.0,41.0,0.0,0.0,7.85,1.0,0.0,1.0,0.0
935.0,2.0,30.0,0.0,0.0,13.0,0.0,0.0,1.0,1.0
936.0,1.0,45.0,1.0,0.0,52.5542,0.0,0.0,1.0,1.0
937.0,3.0,25.0,0.0,0.0,7.925,1.0,0.0,1.0,0.0
938.0,1.0,45.0,0.0,0.0,29.7,1.0,0.0,0.0,1.0
939.0,3.0,24.0,0.0,0.0,7.75,1.0,1.0,0.0,0.0
940.0,1.0,60.0,0.0,0.0,76.2917,0.0,0.0,0.0,1.0
941.0,3.0,36.0,0.0,2.0,15.9,0.0,0.0,1.0,0.0
942.0,1.0,24.0,1.0,0.0,60.0,1.0,0.0,1.0,1.0
943.0,2.0,27.0,0.0,0.0,15.0333,1.0,0.0,0.0,0.0
944.0,2.0,20.0,2.0,1.0,23.0,0.0,0.0,1.0,1.0
945.0,1.0,28.0,3.0,2.0,263.0,0.0,0.0,1.0,1.0
946.0,2.0,29.0,0.0,0.0,15.5792,1.0,0.0,0.0,0.0
947.0,3.0,10.0,4.0,1.0,29.125,1.0,1.0,0.0,0.0
948.0,3.0,35.0,0.0,0.0,7.8958,1.0,0.0,1.0,0.0
949.0,3.0,25.0,0.0,0.0,7.65,1.0,0.0,1.0,0.0
950.0,3.0,24.0,1.0,0.0,16.1,1.0,0.0,1.0,0.0
951.0,1.0,36.0,0.0,0.0,262.375,0.0,0.0,0.0,1.0
952.0,3.0,17.0,0.0,0.0,7.8958,1.0,0.0,1.0,0.0
953.0,2.0,32.0,0.0,0.0,13.5,1.0,0.0,1.0,0.0
954.0,3.0,18.0,0.0,0.0,7.75,1.0,0.0,1.0,0.0
955.0,3.0,22.0,0.0,0.0,7.725,0.0,1.0,0.0,1.0
956.0,1.0,13.0,2.0,2.0,262.375,1.0,0.0,0.0,1.0
957.0,2.0,29.0,0.0,0.0,21.0,0.0,0.0,1.0,1.0
958.0,3.0,18.0,0.0,0.0,7.8792,0.0,1.0,0.0,1.0
959.0,1.0,47.0,0.0,0.0,42.4,1.0,0.0,1.0,1.0
960.0,1.0,31.0,0.0,0.0,28.5375,1.0,0.0,0.0,1.0
961.0,1.0,60.0,1.0,4.0,263.0,0.0,0.0,1.0,1.0
962.0,3.0,24.0,0.0,0.0,7.75,0.0,1.0,0.0,1.0
963.0,3.0,21.0,0.0,0.0,7.8958,1.0,0.0,1.0,0.0
964.0,3.0,29.0,0.0,0.0,7.925,0.0,0.0,1.0,1.0
965.0,1.0,28.5,0.0,0.0,27.7208,1.0,0.0,0.0,1.0
